,Low Risk,Medium-Low Risk,Medium-High Risk,High Risk,Default
Low Risk,0.8766784752354881,0.08542041706874445,0.008542041706874448,0.0056946944712496315,0.023664371517643282
Medium-Low Risk,0.05569610558188107,0.8082351289639006,0.09282684263646848,0.009282684263646849,0.03395923855410311
Medium-High Risk,0.00696825489329891,0.08361905871958691,0.7240822104712399,0.13936509786597817,0.045965378049896054
High Risk,0.009247648894536756,0.013871473341805133,0.16645768010166154,0.7539642805982334,0.056458917063763214
Default,0.0,0.0,0.0,0.0,1.0
