risk_tier,customer_count,mean_clv,std_clv,min_clv,max_clv,total_value,pct_of_portfolio
Low Risk,6313,160.4087860731213,8.724119200398192,131.01099395803806,192.24313724006413,1012660.6664796147,21.043333333333333
Medium-Low Risk,8727,185.75856938037586,10.084744222611898,145.96298758568446,219.14557547742007,1621115.0349825402,29.09
Medium-High Risk,8613,206.8860566290707,11.76432944649885,163.0568267004017,262.374092329984,1781909.605746186,28.71
High Risk,6347,215.32968911171426,12.740577761206815,168.84372241928114,262.4990573071844,1366697.5367920503,21.156666666666666
