Scenario,Max Default Rate,Expected NPV,Weighted Default,Low Risk Alloc,High Risk Alloc,Converged
Base Case,50%,5492206.884256907,0.38714867535887787,0.4999999961942164,0.10000005971132317,True
Low Risk Focus,45%,5548709.439313615,0.3602682648177697,0.5499999972709252,0.05000006086265245,True
Growth Focus,60%,5492206.884413488,0.3871486752843867,0.49999999565809533,0.1000000594020053,True
Balanced Portfolio,55%,5422720.227501871,0.4202061160149661,0.3999996148378155,0.15000017620450615,True
Max Diversification,55%,5366217.971543304,0.4470863843164349,0.3499999999999943,0.20000000000030368,True
